,Air Quality Health Index,Carbon Monoxide,Fine Particulate Matter,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Temperature,Ozone,Relative Humidity,Total Oxides of Nitrogen,Wind Direction,Wind Speed
29364,3.0,0.21,6.4,0.0,0.0,0.021,0.0,-1.7,0.016,67.4,0.021,303.0,6.0
29363,3.0,0.28,0.9,2.2,0.0,0.015,0.0,-0.5,0.024,71.7,0.015,355.0,4.9
29361,2.0,0.23,1.6,0.0,0.0,0.01,0.0,0.4,0.03,63.1,0.01,301.0,7.2
29360,2.0,0.31,0.9,2.1,0.0,0.017,0.0,0.4,0.022,67.7,0.017,14.0,7.4
29358,2.0,0.18,1.0,0.0,0.0,0.006,0.0,1.3,0.035,60.8,0.005,318.0,8.2
29357,2.0,0.29,0.2,2.1,0.0,0.011,0.0,0.6,0.027,67.6,0.011,354.0,10.4
29354,3.0,0.28,0.0,2.1,0.0,0.009,0.0,1.1,0.03,64.2,0.009,346.0,10.1
29355,2.0,0.16,0.8,0.0,0.0,0.005,0.0,1.6,0.035,60.9,0.005,334.0,11.0
29352,3.0,0.16,0.9,0.0,0.0,0.005,0.0,2.3,0.036,58.1,0.006,343.0,14.8
29351,3.0,0.27,0.0,2.2,0.0,0.009,0.0,1.5,0.032,64.7,0.008,345.0,11.8
29349,3.0,0.21,1.1,0.0,0.0,0.01,0.0,2.5,0.033,57.5,0.01,336.0,7.3
29348,3.0,0.39,1.6,2.1,0.001,0.025,0.0,2.4,0.018,61.6,0.026,353.0,11.4
29345,3.0,0.39,1.4,2.1,0.001,0.024,0.0,3.7,0.021,55.2,0.025,355.0,11.0
29346,3.0,0.2,0.8,0.0,0.0,0.009,0.0,4.1,0.035,50.2,0.01,349.0,9.4
29343,2.0,0.16,0.5,0.0,0.0,0.005,0.0,5.8,0.04,43.5,0.005,334.0,14.2
29342,3.0,0.24,0.0,2.1,0.0,0.006,0.0,5.3,0.039,47.3,0.006,340.0,17.0
29340,2.0,0.15,0.3,0.0,0.0,0.002,0.0,6.9,0.043,38.7,0.003,331.0,18.6
29339,3.0,0.23,0.0,2.1,0.0,0.004,0.0,6.3,0.043,42.8,0.004,336.0,23.7
29337,2.0,0.15,0.6,0.0,0.001,0.002,0.0,7.0,0.043,38.5,0.003,330.0,18.0
29336,3.0,0.22,0.0,2.1,0.0,0.003,0.0,6.7,0.045,40.5,0.003,329.0,24.6
29333,3.0,0.22,0.0,2.1,0.001,0.003,0.0,6.1,0.044,42.1,0.004,336.0,25.0
29334,3.0,0.14,0.5,0.0,0.001,0.003,0.0,6.3,0.043,40.3,0.003,337.0,21.0
29330,3.0,0.21,0.0,2.1,0.001,0.003,0.0,5.6,0.044,42.0,0.005,346.0,30.0
29331,3.0,0.14,0.7,0.0,0.001,0.002,0.0,6.0,0.044,40.2,0.003,344.0,27.5
29328,3.0,0.15,1.3,0.0,0.001,0.003,0.0,5.7,0.044,36.3,0.004,342.0,25.0
29327,3.0,0.22,0.4,2.1,0.001,0.005,0.0,5.3,0.044,38.1,0.006,339.0,28.0
29325,3.0,0.2,3.5,0.0,0.005,0.012,0.0,0.4,0.027,53.4,0.017,304.0,11.0
29324,3.0,0.28,4.4,2.1,0.007,0.016,0.0,2.2,0.027,46.2,0.024,331.0,14.6
29322,3.0,0.21,4.2,0.0,0.004,0.015,0.0,-1.5,0.021,59.9,0.019,299.0,10.9
29321,3.0,0.28,5.6,2.1,0.005,0.017,0.0,0.8,0.024,51.5,0.022,333.0,19.1
29319,3.0,0.21,5.8,0.0,0.001,0.016,0.0,-2.4,0.02,62.6,0.018,307.0,9.7
29318,3.0,0.29,4.9,2.1,0.003,0.022,0.0,-0.6,0.018,63.4,0.025,335.0,14.0
29315,3.0,0.3,2.5,2.1,0.005,0.027,0.0,-2.1,0.012,73.2,0.032,332.0,8.7
29316,2.0,0.2,3.8,0.0,0.0,0.018,0.0,-3.0,0.018,65.6,0.018,311.0,10.0
29312,3.0,0.36,3.9,2.2,0.027,0.038,0.0,-4.5,0.003,94.6,0.066,197.0,2.1
29313,2.0,0.18,3.1,0.0,0.0,0.015,0.0,-3.8,0.018,68.6,0.016,315.0,7.6
29309,3.0,0.31,4.6,2.2,0.009,0.033,0.0,-4.4,0.003,94.6,0.042,242.0,4.9
29310,2.0,0.18,4.5,0.0,0.0,0.012,0.0,-4.2,0.021,69.3,0.012,314.0,8.4
29307,2.0,0.17,4.5,0.0,0.0,0.013,0.0,-4.5,0.019,71.4,0.013,309.0,8.0
29306,3.0,0.36,6.0,2.2,0.011,0.034,0.0,-5.2,0.002,99.7,0.045,291.0,2.8
29304,3.0,0.0,5.3,0.0,0.0,0.0,0.0,-4.9,0.0,74.1,0.0,309.0,7.0
29303,4.0,0.0,9.7,0.0,0.0,0.0,0.0,-4.9,0.0,99.7,0.0,0.0,0.0
29300,4.0,0.57,10.6,2.4,0.046,0.034,0.0,-4.8,0.002,99.6,0.08,0.0,0.0
29301,3.0,0.21,6.2,0.0,0.0,0.02,0.0,-4.9,0.011,74.8,0.02,299.0,7.2
29298,3.0,0.21,7.1,0.0,0.0,0.021,0.0,-4.6,0.009,74.6,0.021,298.0,8.8
29297,4.0,0.72,12.3,2.5,0.064,0.035,0.0,-4.5,0.002,99.6,0.099,0.0,0.0
29295,3.0,0.22,7.0,0.0,0.0,0.022,0.0,-4.5,0.008,74.6,0.023,298.0,8.6
29294,4.0,1.02,13.8,2.6,0.111,0.042,0.0,-4.9,0.002,99.6,0.152,0.0,0.0
29292,3.0,0.21,5.2,0.0,0.0,0.021,0.0,-3.9,0.013,78.2,0.021,308.0,7.7
29291,4.0,1.11,13.7,2.4,0.115,0.042,0.0,-4.4,0.002,99.6,0.157,0.0,0.0
29288,4.0,1.05,14.8,2.3,0.098,0.043,0.0,-4.0,0.003,99.6,0.141,0.0,0.0
29289,4.0,0.24,5.2,0.0,0.0,0.024,0.0,-3.6,0.013,82.9,0.024,307.0,5.7
